ontologyTermIRI	Atccode
http://www.UMCG.nl/412ffe623b3ca5b27eaa5c5e67ef8225	A02AB02
http://www.UMCG.nl/47bad178f5fb50b489aef919b25ee0ef	A02AB02
http://www.UMCG.nl/54b8d164c98efc1830305090d8165d7a	A02AB02
http://www.UMCG.nl/673caaad5dd050812312a83ce313c223	A02AB02
http://www.UMCG.nl/7fc8f59e14717e80d1c0aa20633113e3	A02AB02
http://www.UMCG.nl/86a0841b5874a2bea14c1a49a083c4aa	A02AB02
http://www.UMCG.nl/89bfe5de44b0de6a4eb1c63b8f87c3cf	A02AB02
http://www.UMCG.nl/8c3ea2f09698fa3e42d97d5859d0b3a6	A02AB02
http://www.UMCG.nl/a1d38302c18a92cea70f79eb135dea03	A02AB02
http://www.UMCG.nl/b5edc8df1b8b075fded33267e624942e	A02AB02
http://www.UMCG.nl/bf4865901d37410ba0a61b578f6eabba	A02AB03
http://www.UMCG.nl/5eab23249601a27906f79111d49493b6	A02AB04
http://www.UMCG.nl/f20142eb8c23d27253612d35bbd3afdd	A02AB05
http://www.UMCG.nl/c04ed921d1791bb3cd39ad916cbd5a88	A02AB06
http://www.UMCG.nl/b8a57c08d676453d13688bddabc1dfc9	A02AB07
http://www.UMCG.nl/bae73533421f1a6c295640ab889f4028	A02AB10
http://www.UMCG.nl/c919cad69d40b8778595be4dd011886e	A02AC
http://www.UMCG.nl/2738b9416f975593fcb2306ca113dcc9	A02AC01
http://www.UMCG.nl/4ab0a5486375761d71cf6782878a7efa	A02AC01
http://www.UMCG.nl/87c3ceed6814d8e8c07200d7b6ab0b97	A02AC01
http://www.UMCG.nl/a129ea46c8ac4d806f87b4873ce23ef5	A02AC01
http://www.UMCG.nl/e0a58273d66927bb852ded623f37e8eb	A02AC01
http://www.UMCG.nl/617abda78df3bca315f03c1482bad4d3	A02AC02
http://www.UMCG.nl/8e9ef8bc80909f162d5080e1422fd6c5	A02AC10
http://www.UMCG.nl/08b160c1890123b0297069a574ea713c	A02AD
http://www.UMCG.nl/1a04e94e3f1d814a67eba6fe68c0a88d	A02AD
http://www.UMCG.nl/4596f316b02cc6d304135af47a91692f	A02AD
http://www.UMCG.nl/9a77287b647b04c65cd8a2db4fdab293	A02AD
http://www.UMCG.nl/065429838ddf10fcbc0129fa5e778d53	A02AD01
http://www.UMCG.nl/0bdc6c36c342b2c63ff13c4a24ed4cd7	A02AD01
http://www.UMCG.nl/0d325ef45cd758530e3744ab4741e2a5	A02AD01
http://www.UMCG.nl/0fbbcbf2869687a73d752056f9ddf1d7	A02AD01
http://www.UMCG.nl/10dd133cde1a0622f494977eaad663ec	A02AD01
http://www.UMCG.nl/11c925dc2e14b03b107bfaf3100d3cd3	A02AD01
http://www.UMCG.nl/12ac55f49f1a2f65d6d31a56ded509c4	A02AD01
http://www.UMCG.nl/168fae2cd05b5941f3773252368fef8a	A02AD01
http://www.UMCG.nl/1986eb589b7014c5d8ae8a9f84a5846a	A02AD01
http://www.UMCG.nl/2d06483d85228792427d6ce5a48d9a98	A02AD01
http://www.UMCG.nl/2f34082c5bf372ec5072a6eb9a9ffa42	A02AD01
http://www.UMCG.nl/350a5d739cb34bdb38220e06fec241dd	A02AD01
http://www.UMCG.nl/357caaeb09fe0bbdbf1dbf03b8c7ce15	A02AD01
http://www.UMCG.nl/35ccb528d78b976297d43a2428ac058c	A02AD01
http://www.UMCG.nl/35d124d32be04a295fa1daa9b31b687c	A02AD01
http://www.UMCG.nl/37721c5b96d833a0b57b152ca7cd2948	A02AD01
http://www.UMCG.nl/384d0bc35a4a4ad74080b1601412d397	A02AD01
http://www.UMCG.nl/39d01c61a0fcf475e285e2f2f9b8597b	A02AD01
